area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,2502,3,3,138.0
Plot  Area,Ready To Move,Kothanur,3,BDensar,2400,2,1,150.0
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1007,2,2,43.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2,Maest N,1200,2,2,50.0
Built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,2,229.0
Super built-up  Area,19-Apr,Devanahalli,2,Oznuean,1260,2,2,66.78
Super built-up  Area,Ready To Move,Byatarayanapura,3,Reeroce,1413,2,2,75.0
Super built-up  Area,Ready To Move,Whitefield,2,Sonviik,1116,2,1,51.91
Super built-up  Area,Ready To Move,Electronic City,3,DSgmax ,1530,2,1,45.9
Built-up  Area,Ready To Move,Sarjapur  Road,3,Cetattu,2497,3,2,140.0
Super built-up  Area,Ready To Move,Kengeri,3,Vaens G,1540,2,3,64.0
Super built-up  Area,Ready To Move,Thanisandra,3,Moity S,1427,3,2,120.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3,HiahsLa,2061,3,1,200.0
Super built-up  Area,22-Dec,Devanahalli,3,Sabixtt,1282,2,2,68.52
Built-up  Area,Ready To Move,LB Shastri Nagar,3,Sragei ,1600,3,2,65.0
Super built-up  Area,Ready To Move,Hormavu,2,SyidaCr,1500,2,1,78.0
Built-up  Area,Ready To Move,Peenya,3,Jahts H,1870,3,3,110.0
Plot  Area,Ready To Move,Sarjapur,3,Inensba,1600,3,1,75.0
Super built-up  Area,Ready To Move,Kudlu Gate,3,Srier P,1535,3,2,83.0
Built-up  Area,Ready To Move,Kanakpura Road,2,Wiowsri,950,2,1,57.0
Super built-up  Area,18-Aug,Devanahalli,2,Derdsig,1360,2,1,65.0
Super built-up  Area,19-Jan,Chandra Layout,3,TiaksAa,1260,2,2,85.05
Super built-up  Area,19-Dec,Yelahanka,5,LedorSa,3050,5,1,213.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,HMwerCo,1563.05,3,1,105.0
Super built-up  Area,17-Jul,Anandapura,2,ViensRK,1167,2,1,43.76
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,HoiewLa,890,2,1,35.0
Super built-up  Area,Ready To Move,Basavanapura,3,Dwity T,1612,3,3,46.74
Super built-up  Area,Ready To Move,Kannamangala,2,VBownre,957,2,1,58.0
Super built-up  Area,Ready To Move,Hulimavu,2,Prcan P,1125,2,2,50.0
Super built-up  Area,18-Jul,Electronic City Phase II,2,Sryalan,1020,2,1,30.6
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1735,3,3,135.0
Super built-up  Area,Ready To Move,Thanisandra,3,G conTh,2050,3,1,145.0
Super built-up  Area,18-May,Hosa Road,2,SStusan,1063,2,1,32.0
Super built-up  Area,Ready To Move,Keshava Nagar,3,ETens G,1904,3,1,150.0
Super built-up  Area,Ready To Move,RMV Extension,3,Hohnari,2000,3,1,175.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,3,Naods W,1425,2,2,75.0
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500,2,1,64.5
Built-up  Area,Ready To Move,Electronic City,2,GMown E,1060,2,1,60.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3,Sancyra,1470,2,2,70.0
Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1152,2,1,64.5
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1350,2,1,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3,Srshq T,1550,3,3,65.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,Goateds,1700,3,2,155.0
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,2144,3,2,145.0
Super built-up  Area,21-Jun,Vijayanagar,3,Saahaat,1704,3,2,110.0
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,52.0
Built-up  Area,Ready To Move,Electronic City,2,GMown E,1025,2,1,46.0
Super built-up  Area,Ready To Move,Marathahalli,2,VRave E,1200,2,2,52.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3,MaidoPl,1550,2,3,80.0
Super built-up  Area,Ready To Move,Marathahalli,2,Aiitya ,1200,2,2,60.0
Super built-up  Area,Ready To Move,Yelahanka,2,PuziaVe,1327,2,2,98.0
Super built-up  Area,Ready To Move,HSR Layout,3,NRosete,1400,3,2,56.0
Built-up  Area,Ready To Move,Whitefield,2,Sancya ,1225,2,2,47.6
Built-up  Area,Ready To Move,Kadugodi,3,MSingco,1260,2,2,54.0
Super built-up  Area,Ready To Move,Yelahanka,3,Pyikad ,1282,2,2,48.7
Super built-up  Area,Ready To Move,Kogilu,3,CaIRSCr,1909,3,2,88.0
Super built-up  Area,Ready To Move,Panathur,2,Prcesvy,1359,2,1,87.0
Super built-up  Area,Ready To Move,Kammasandra,3,Emstael,1595,3,2,65.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,SNdri N,1475,3,2,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3,HodhiSa,1580,3,3,100.0
Super built-up  Area,Ready To Move,Dasarahalli,2,Syonyph,1295,2,1,65.0
Super built-up  Area,18-Dec,Sarjapur  Road,3,Klark L,1787,3,2,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Klark L,1787,3,2,125.0
Super built-up  Area,Ready To Move,Koramangala,3,Piityra,1475,2,3,90.0
Super built-up  Area,19-Mar,Sarjapur  Road,2,AsastDe,984,2,1,44.28
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,1080,2,2,72.0
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,AlEcone,1148,2,2,60.0
Super built-up  Area,Ready To Move,Mylasandra,2,Laowsba,1110,2,2,55.0
Built-up  Area,Ready To Move,Electronic City,2,Saave R,1100,2,2,42.0
Super built-up  Area,Ready To Move,Kalyan nagar,2,Anave S,1290,2,2,110.0
Super built-up  Area,21-Jun,Vijayanagar,3,Saityat,1933,3,1,129.0
Super built-up  Area,Ready To Move,Ashwath Nagar,3,SJcerpe,1644,3,3,84.0
Super built-up  Area,Ready To Move,Electronic City,2,CoapeSo,910,2,1,40.0
Super built-up  Area,Ready To Move,Kothanur,3,Bisic C,1577,3,1,70.0
Plot  Area,17-May,Meenakunte,3,Sreat R,4050,3,2,280.0
Super built-up  Area,Ready To Move,OMBR Layout,3,Inntsa ,2420,3,2,185.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BriumMi,1270,2,2,93.0
Super built-up  Area,17-Jun,Electronic City,2,Prarkun,1108,2,1,63.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3,Calyxy ,3045,3,2,170.0
Plot  Area,Ready To Move,Ambedkar Nagar,4,Thessrm,2900,3,2,300.0
Super built-up  Area,Ready To Move,Vijayanagar,3,JJortom,1500,3,2,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,2,43.9
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1162,2,1,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1035,2,2,49.2
Super built-up  Area,18-Oct,Hennur Road,3,DSapeSk,1866,2,2,61.58
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Prillot,1804,3,2,120.0
Super built-up  Area,21-Dec,Talaghattapura,3,Sodgere,1868,3,2,131.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,2026,3,2,132.0
Super built-up  Area,Ready To Move,Balagere,2,Soestin,1210,2,1,80.9
Plot  Area,Ready To Move,Meenakunte,4,Sreat R,4111,4,2,250.0
Super built-up  Area,Ready To Move,Kadugodi,3,Alestrb,1762,3,3,91.45
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1252,3,3,55.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,Mauner ,861,2,1,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brnia G,1420,2,1,100.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1490,3,1,78.8
Super built-up  Area,18-Aug,Old Madras Road,3,Saesttt,1425,2,2,94.0
Built-up  Area,Ready To Move,Kalena Agrahara,2,Nae 2El,1200,2,1,40.0
Super built-up  Area,Ready To Move,Silver Springs Layout,2,Bhinglv,1084,2,2,50.0
Super built-up  Area,18-Jul,Chandapura,2,SunceEs,1015,2,2,25.88
Super built-up  Area,21-May,Kanakpura Road,2,GolusLi,1017,2,1,51.25
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Coush W,1069,2,2,45.0
Super built-up  Area,Ready To Move,Hebbal,2,Prersis,1349,2,1,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,NaensGa,1005,2,1,50.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,2,SMikaay,950,2,2,47.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Ahriaup,1863,3,2,104.0
Super built-up  Area,Ready To Move,Singasandra,2,Priewhi,1010,2,1,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Shodsth,1425,2,1,70.0
Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1847,3,2,105.0
Super built-up  Area,Ready To Move,Mallasandra,3,Puestig,1665,3,2,95.0
Super built-up  Area,Ready To Move,Begur,4,Prntsrt,1664,4,3,65.0
Super built-up  Area,Ready To Move,JP Nagar,3,Maerar ,1850,3,3,150.0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3,MaisePa,1560,3,3,115.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,67.0
Super built-up  Area,Ready To Move,Whitefield,2,Gotis A,1280,2,2,75.0
Super built-up  Area,Ready To Move,Motappa Layout,2,Puodse ,1113,2,1,51.0
Super built-up  Area,Ready To Move,Hennur Road,2,Mileeou,1385,2,1,83.09
Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1128,2,1,65.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,PhestOn,2390,3,2,415.0
Super built-up  Area,Ready To Move,Haralur Road,3,NRowse ,1464,3,2,56.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,Abncy R,1200,2,2,52.0
Super built-up  Area,Ready To Move,Kaggalipura,3,Baowsig,1150,2,1,55.0
Built-up  Area,Ready To Move,Basavanna Nagar,3,Itala A,1645,3,2,95.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,HMinebo,1192,2,2,74.0
Super built-up  Area,Ready To Move,Ulsoor,3,K borja,2135,3,2,215.0
Super built-up  Area,19-Dec,Whitefield,2,Oreldhi,1173,2,1,58.0
Built-up  Area,Ready To Move,Uttarahalli,2,Sungspr,1020,2,2,45.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2,Clntsrt,1250,2,2,40.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2,PuamaPa,1325,2,2,76.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brngsal,1850,3,1,150.0
Super built-up  Area,18-Jun,Bommasandra,3,SSestth,1260,3,1,49.36
Plot  Area,18-Dec,Suragajakkanahalli,3,PrhyaK ,11,3,2,74.0
Built-up  Area,Ready To Move,Ardendale,2,Miwel M,1100,2,1,43.25
Super built-up  Area,Ready To Move,Harlur,2,SrEndPo,1508,2,1,77.0
Carpet  Area,Ready To Move,Sampigehalli,3,Puens G,1592,3,2,75.0
Super built-up  Area,18-Aug,Magadi Road,2,Vrenty ,1116,2,1,50.0
Super built-up  Area,Ready To Move,Narayanapura,2,AriosHe,1308,2,2,89.04
Super built-up  Area,Ready To Move,Hennur,2,SLureSi,1075,2,1,52.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,Mangsr ,1075,2,2,60.0
Built-up  Area,Ready To Move,KR Puram,2,HovasTe,930,2,2,39.0
Super built-up  Area,Ready To Move,Balagere,2,Exncene,1380,2,1,60.0
Built-up  Area,Ready To Move,Kodigehaali,2,Shyas S,1166,2,2,55.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,NadelCi,1050,2,1,65.0
Super built-up  Area,19-Mar,Gopalapura,3,Sothadr,2023.71,3,2,275.0
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,46.8
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,Puarent,1600,2,1,108.0
Super built-up  Area,Ready To Move,Billekahalli,3,MaionPa,1935,3,2,110.0
Super built-up  Area,Ready To Move,Electronic City,3,ShstaAl,1800,3,2,95.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,1801,3,2,115.0
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,44.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,Wiowsri,950,2,1,40.0
Super built-up  Area,21-Jun,Vijayanagar,3,Saityat,1826,3,2,121.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Eladero,1245,2,1,94.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Lancyey,1145,2,2,45.79
Super built-up  Area,Ready To Move,Sompura,2,Suiseit,825,2,1,33.0
Super built-up  Area,18-Aug,Yeshwanthpur,3,Aroomba,1693,3,3,108.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Courf T,1113.27,2,2,53.0
Built-up  Area,Ready To Move,Ashirvad Colony,2,VMowsea,1460,2,1,58.0
Built-up  Area,Ready To Move,Doddathoguru,2,S onsMa,1050,2,1,32.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2,Tuentpa,1260,2,2,55.0
Built-up  Area,Ready To Move,Hosur Road,2,Tovesee,1656,2,1,120.0
Super built-up  Area,Ready To Move,Chandapura,3,Vailsaf,1208,3,1,45.0
Super built-up  Area,Ready To Move,Whitefield,3,BrlisCo,1910,3,2,161.0
Super built-up  Area,Ready To Move,Whitefield,4,Haestt ,3252,4,1,230.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BriumMi,1175,2,1,82.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,PhestOn,2390,3,2,410.0
Super built-up  Area,Ready To Move,Kengeri,2,VBvenal,750,2,1,38.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,64.5
Built-up  Area,Ready To Move,Amco Colony,3,Hoeatan,1760,3,2,88.0
Super built-up  Area,Ready To Move,Billekahalli,2,Asity S,1125,2,2,62.0
Super built-up  Area,18-Oct,Bommasandra,2,DSoodil,1060,2,1,26.5
Super built-up  Area,Ready To Move,Ambalipura,2,SJarkte,1105,2,1,75.0
Built-up  Area,Ready To Move,Hoodi,2,Dhgraas,985,2,2,67.0
Super built-up  Area,17-Jul,Balagere,3,HiqueMa,1590,3,2,79.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2,Srshq T,1120,2,2,55.0
Super built-up  Area,Ready To Move,Samethanahalli,2,SPontna,1069,2,1,55.0
Super built-up  Area,Ready To Move,Marathahalli,3,Prionad,1933,3,2,140.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,2,48.1
Super built-up  Area,Ready To Move,Suddaguntepalya,3,MSanaer,1450,3,2,55.0
Super built-up  Area,18-Jul,Udayapur Village,3,Plowsri,1630,3,2,68.29
Super built-up  Area,Ready To Move,Bellandur,2,Ocavees,1250,2,1,76.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brnia G,1400,2,1,95.0
Super built-up  Area,Ready To Move,Ardendale,3,SoystAm,1750,3,2,100.0
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1404,2,1,71.0
Super built-up  Area,Ready To Move,Hoodi,3,SMaxyay,1715,2,2,95.0
Super built-up  Area,Ready To Move,Harlur,3,SosicCl,1752.12,3,2,135.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1,55.47
Plot  Area,Ready To Move,Giri Nagar,3,Bancyri,1800,3,2,252.0
Super built-up  Area,18-Sep,Sarjapur  Road,2,PualeSk,1346,2,1,74.03
Super built-up  Area,Ready To Move,Hormavu,2,ElavuHo,1150,2,2,55.0
Built-up  Area,Ready To Move,Chikkabidarakallu,4,Gontyol,3309,4,3,325.0
Super built-up  Area,18-May,Chandapura,3,SunceEs,1190,2,2,30.35
Super built-up  Area,Ready To Move,AECS Layout,3,DSutyng,1620,3,2,98.0
Super built-up  Area,Ready To Move,1 Giri Nagar,11,Bancyri,5000,9,3,360.0
Super built-up  Area,18-May,Electronic City Phase II,3,Sryalan,1220,2,1,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,2,RKntsrt,850,2,1,30.0
Super built-up  Area,Ready To Move,Defence Colony,2,Vantspa,1150,2,2,126.0
Super built-up  Area,18-Dec,Hebbal,3,Mahosya,1760,2,2,130.0
Super built-up  Area,Ready To Move,Amruthahalli,2,Prowsi ,900,2,1,40.0
Super built-up  Area,18-May,Whitefield,2,SMuilan,1130,2,1,42.16
Super built-up  Area,Ready To Move,Koramangala,2,Proodt ,1320,2,1,165.0
Built-up  Area,Ready To Move,Patelappa Layout,2,Sryamar,1200,2,1,62.0
Built-up  Area,Ready To Move,RMV 2nd Stage,4,LiaveEn,1150,4,2,260.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5,Bemesrm,1200,5,2,190.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,Vrensn ,1130,2,2,60.0
Super built-up  Area,Ready To Move,Surabhi Layout,3,VDdonel,1753,3,2,120.0
Super built-up  Area,22-Jun,Hoodi,2,GoAirej,1196,2,2,94.42
Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1128,2,1,63.0
Super built-up  Area,Ready To Move,Omkar Nagar,2,Shinei ,1000,2,1,53.0
Super built-up  Area,Ready To Move,Yelahanka,2,Apows M,1035,2,1,45.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,36.0
Super built-up  Area,Ready To Move,Whitefield,2,SVineun,1040,2,1,48.5
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1511,3,1,95.0
Super built-up  Area,19-Dec,Hoodi,3,Caycend,1545,3,1,68.75
Super built-up  Area,Ready To Move,JP Nagar,2,DSvvyx ,1000,2,1,35.0
Super built-up  Area,17-May,Kambipura,2,Prrtht ,883,2,1,45.0
Super built-up  Area,19-Apr,Sarjapur  Road,2,Brareio,1195,2,1,70.0
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,67.0
Super built-up  Area,Ready To Move,VHBCS Layout,2,OlarkLa,1353,2,2,110.0
Super built-up  Area,18-Apr,Electronic City,3,Prarkun,1599,3,2,125.0
Super built-up  Area,Ready To Move,Whitefield,2,SuMTBPr,1150,2,1,70.0
Super built-up  Area,Ready To Move,KR Puram,2,Jahidva,1155,2,2,42.74
Built-up  Area,Ready To Move,Rajiv Nagar,3,PuoodSk,1867,3,1,160.0
Super built-up  Area,18-Jun,Ramagondanahalli,2,ViistLa,1251,2,1,47.0
Super built-up  Area,18-Apr,Gattahalli,2,Arano M,1028,2,1,45.5
Super built-up  Area,Ready To Move,Arekere,2,Amngsag,1222,2,2,45.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1170,2,1,66.0
Super built-up  Area,Ready To Move,HSR Layout,2,SrisePo,1372,2,1,68.0
Super built-up  Area,Ready To Move,Magadi Road,3,Bilya A,1282,2,2,49.0
Super built-up  Area,Ready To Move,Mico Layout,9,Amsomun,5000,9,3,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,Shdhia ,1135,2,1,39.73
Built-up  Area,Ready To Move,Byatarayanapura,3,Foconna,1325,2,1,90.0
Super built-up  Area,18-Apr,Electronic City,3,Prarkun,1599,3,2,99.0
Super built-up  Area,18-Apr,Munnekollal,2,Sadhii ,1102,2,2,53.67
Super built-up  Area,Ready To Move,Yelahanka,2,Sahanra,1350,2,2,54.0
Built-up  Area,Ready To Move,Attibele,2,Jae 2hu,656,2,1,25.0
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2,Icncy R,1056,2,1,80.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,3,Puarero,2225,3,1,160.0
Super built-up  Area,18-Aug,Bommasandra,2,DSoodil,1126,2,1,28.15
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1490,3,1,84.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,PuineSu,1550,3,3,100.0
Built-up  Area,Ready To Move,Whitefield,4,PrOakSi,4144,4,3,315.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Supleon,2100,3,2,125.0
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1404,2,1,69.3
Plot  Area,Ready To Move,Sarjapur  Road,4,LGestbo,2230,4,3,225.0
Super built-up  Area,18-May,Banashankari Stage III,3,Pridsi ,1305,2,1,58.7
Super built-up  Area,Ready To Move,Marathahalli,2,Aahts H,1230,2,2,80.0
Super built-up  Area,Ready To Move,Whitefield,3,Toindls,2500,3,2,313.0
Super built-up  Area,Ready To Move,Dooravani Nagar,3,Puceswn,1578,3,1,180.0
Super built-up  Area,Ready To Move,Jigani,2,i1odsne,1020,2,1,40.0
Super built-up  Area,Ready To Move,Koramangala,2,Ansna K,1253,2,1,102.0
Super built-up  Area,Ready To Move,JCR Layout,2,ARnamru,1180,2,2,42.0
Super built-up  Area,Ready To Move,Nehru Nagar,2,Veyalin,961,2,2,38.0
Super built-up  Area,Ready To Move,Harlur,3,SomonCi,1709,3,2,150.0
Super built-up  Area,Ready To Move,Sneha Colony,2,Daill S,1260,2,2,45.0
Built-up  Area,Ready To Move,RMV Extension,3,DSureSi,1630,3,2,85.0
Super built-up  Area,19-May,Sarjapur  Road,3,Soini T,1249,3,2,44.71
Super built-up  Area,Ready To Move,Kalena Agrahara,3,MancyRe,1450,2,3,85.0
Super built-up  Area,17-Nov,Konanakunte,3,Prasa W,2791,3,1,223.0
Built-up  Area,Ready To Move,Gottigere,2,Drente ,891,2,1,25.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,1,49.07
Built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,37.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,SGandea,1090,2,1,42.0
Super built-up  Area,18-Dec,Hebbal,3,Mahosya,1920,3,2,134.0
Built-up  Area,Ready To Move,HRBR Layout,2,Eline P,1374,2,2,95.0
Super built-up  Area,Ready To Move,Tumkur Road,3,SosonGa,1500,3,3,95.0
Super built-up  Area,Ready To Move,Whitefield,3,Gotis A,1720,3,3,100.0
Super built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1200,2,1,85.0
Carpet  Area,18-Jul,Hosahalli,3,NSezeBr,1375,3,2,70.0
Super built-up  Area,Ready To Move,Jalahalli,3,Tahtsla,2250,3,2,160.0
Super built-up  Area,Ready To Move,Bellandur,2,Sronda ,1000,2,2,50.0
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3800,4,3,250.0
Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,29.0
Super built-up  Area,Ready To Move,GM Palaya,3,Chnts A,1820,2,3,86.0
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2378,3,1,262.0
Super built-up  Area,Ready To Move,Sarjapur,2,Ahownve,1128,2,1,60.0
Super built-up  Area,Ready To Move,Hebbal,3,Cevely ,1500,3,1,150.0
Super built-up  Area,20-Oct,Kanakpura Road,3,PrarePa,1100,2,1,58.0
Super built-up  Area,Ready To Move,Bommasandra,3,Vaodspe,1200,3,2,46.0
Super built-up  Area,Ready To Move,Nagondanahalli,3,DSldsen,1641,3,2,66.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,NaonySy,1260,2,1,67.39
Super built-up  Area,Ready To Move,Yelahanka,2,Pyikad ,1210,2,1,45.98
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,45.0
Built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1702,3,2,130.0
Super built-up  Area,Ready To Move,Shanthala Nagar,2,Malex C,1630,2,2,200.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1141,2,2,38.55
